"Turma","Qual sua faixa etária?","qual o seu gênero?","Selecione seu curso","Quantas disciplinas você matriculou para cursar no semestre?","Que tão motivado se sente em trabalhar em grupo de forma remota?","Qual a disponibilidade de tempo para cursar as disciplinas do semestre?","Selecione as disciplinas nas quais você tenha algum conhecimento ou que já cursou","Sugira um Aplicativo de Comunicação ","Qual o seu nível de experiência utilizando Git/GitHub ou outros sistemas de versionamento?","Qual a sua experiência em teste de software e no uso de ferramentas de teste unitário como JUnit,  Jest ou outras?","Qual a sua experiência no uso de sistemas de integração contínua como Jenkins?","Qual a sua experiência no desenvolvimento de software seguindo métodos ágeis?","Qual a sua experiência no gerenciamento de projetos ágeis?","Em quais das seguintes linguagens de programação você tem experiência?","Quais sistemas de gerenciamento de base de dados tem utilizado?","Qual sua experiência previa no desenvolvimento de software? Por exemplo, como estagiário, freelancer, ou participando em projetos open source, de IC/TCC, entre outros...","Em quais frameworks ou IDEs de desenvolvimento tem experiência?","Como considera seu nível de proficiência em leitura e escuta do Inglês?","Possui uma ideia de SI que possa ser explorada por você e seu grupo durante a disciplina? Se sim, faça uma breve descrição da ideia do SI. (Essa informação ajudará a formar os grupos e definir os projetos da disciplina). ","Em quais dos seguintes tipos de software você sente motivação de trabalhar?","Para quais dominios você teria interesse de construir software?"
2021,"26 a 29 anos","Homem","Sistemas de Informação",4,3,"Trabalho e TCC","Todas","Discord",5,1,2,3,1,"Java, JavaScript, c#, typescript","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source > 5 anos","Visual Studio Code",4," ","Aplicativos Web/Mobile, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Transporte, Finanças"
2021,"23 a 25 anos","Mulher","Sistemas de Informação",7,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web","Discord",3,1,1,4,4,"JavaScript","MySQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",3,"No momento, não.","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas de Big Data","Sociedade, Saúde, Educação, Meio ambiente, e-Commerce"
2021,"36 a 40 anos","Homem","Sistemas de Informação",4,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto","WhatsApp",1,1,1,2,1,"Java, C++, C","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",4,"n","Aplicativos Web/Mobile, Sistemas de IoT, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Educação, Meio ambiente, e-Commerce"
2021,"23 a 25 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",4,1,1,4,4,"Java, JavaScript, DART","MySQL, PostgreSQL","Experiência adquirida em projetos de IC/TCC","Netbeans, IntelliJ, Visual Studio Code, PyCharm",4,"Não","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Transporte, e-Commerce"
2021,"23 a 25 anos","Homem","Sistemas de Informação",6,2,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,3,1,"Java, Python, JavaScript, C","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Netbeans, Visual Studio Code",2,"Por enquanto não possuo nenhuma ideia","Aplicativos Web/Mobile, Sistemas de IoT","Saúde, Educação, Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Arquitetura de software","Discord",1,1,1,1,1,"Java","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans",4,"Não tenho :(","Sistemas de IoT, Sistemas de Big Data, Sistemas baseados em Serviços / Cloud","Educação, e-Commerce"
2021,"26 a 29 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",4,2,1,3,2,"Java, JavaScript","MySQL, PostgreSQL, MongoDB","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",2,"não","Aplicativos Web/Mobile","Saúde, Educação, Finanças"
2021,"23 a 25 anos","Homem","Sistemas de Informação",5,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Base de Dados","Discord",1,3,1,2,1,"Java, C/C++","PostgreSQL","Experiência adquirida em projetos de disciplinas","Netbeans, Eclipse",5,"Gosto da integração  de hardware com software entao algum sistema que utilizasse dados de sensores ou acionace mecamismos","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Sistemas de IoT","Sociedade, Meio ambiente"
2021,"18 a 22 anos","Homem","Sistemas de Informação",6,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,4,2,"Java, JavaScript","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Visual Studio Code",5,"Sistema baseado em contabilidade, como um sistema de controle de notas fiscais","Aplicativos Web/Mobile, Games, Sistemas baseados em Serviços / Cloud","Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Desenvolvimento em Cloud","Discord",3,2,1,3,2,"Java","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",2,"Não.","Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
